source_id,source_text,target_id,target_text,type,description
entite_1,impôt sur les sociétés,entite_19,organismes de placement collectif en capital (O.P.C.C.),exonération,Les O.P.C.C. sont exonérés de l'impôt sur les sociétés pour les bénéfices réalisés dans le cadre de leur objet légal.
entite_1,impôt sur les sociétés,entite_20,Société Nationale D’aménagement Collectif (S.O.N.A.D.A.C.),exonération,La S.O.N.A.D.A.C. est exonérée de l'impôt sur les sociétés pour les activités liées aux logements sociaux.
entite_1,impôt sur les sociétés,entite_21,société 'Sala Al-Jadida',exonération,La société 'Sala Al-Jadida' est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_22,Agence pour la promotion et le développement économique et social des préfectures et provinces du Nord du Royaume,exonération,L'agence est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_23,Agence pour la promotion et le développement économique et social des provinces du Sud du Royaume,exonération,L'agence est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_24,Agence pour la promotion et le développement économique et social de la préfecture et des provinces de la région orientale du Royaume,exonération,L'agence est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_25,Agence Spéciale Tanger -Méditerranée,exonération,L'Agence Spéciale Tanger -Méditerranée est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_26,Université Al Akhawayne d’Ifrane,exonération,L'Université Al Akhawayne d’Ifrane est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_27,Fondation Cheikh Khalifa Ibn Zaïd,exonération,La Fondation Cheikh Khalifa Ibn Zaïd est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_28,exploitations agricoles,exonération,Les exploitations agricoles réalisant un chiffre d'affaires annuel inférieur à cinq millions de dirhams sont exonérées de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_29,Fondation Lalla Salma de prévention et traitement des cancers,exonération,La Fondation Lalla Salma est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_30,organismes de placement collectif immobilier (O.P.C.I),exonération,Les O.P.C.I. sont exonérés de l'impôt sur les sociétés pour les activités réalisées conformément à la loi.
entite_1,impôt sur les sociétés,entite_31,Fondation Mohammed VI pour la protection de l’environnement,exonération,La Fondation Mohammed VI pour la protection de l’environnement est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_32,Ligue Marocaine pour la protection de l’enfance,exonération,La Ligue Marocaine pour la protection de l’enfance est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_33,fédérations et associations sportives reconnues d'utilité publique,exonération,Les fédérations et associations sportives reconnues d'utilité publique sont exonérées de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_34,Fondation Mohammed VI des sciences et de la santé,exonération,La Fondation Mohammed VI des sciences et de la santé est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_35,représentations de la Fédération Internationale de Football Association au Maroc,exonération,Les représentations de la FIFA au Maroc sont exonérées de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_36,"produits des actions, parts sociales et revenus assimilés",exonération,"Les produits des actions, parts sociales et revenus assimilés sont exonérés de l'impôt sur les sociétés sous certaines conditions."
entite_1,impôt sur les sociétés,entite_37,sociétés qui introduisent leurs titres à la bourse des valeurs,réduction d'impôt,Les sociétés qui introduisent leurs titres à la bourse bénéficient d'une réduction d'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_38,jeunes entreprises innovantes en nouvelles technologies,réduction d'impôt,Les entreprises qui prennent des participations dans le capital des jeunes entreprises innovantes bénéficient d'une réduction d'impôt.
coopératives,des coopératives et leurs unions,exonération,l’exonération prévue à l’article 6 (I -A- 1° et 9°),applicable sur,Les coopératives peuvent bénéficier d'une exonération fiscale sous certaines conditions.
chiffre d’affaires annuel,chiffre d’affaires annuel est inférieur à dix millions (10.000.000) dirhams,exonération,l’exonération prévue à l’article 6 (I -A- 1° et 9°),condition pour,L'exonération est conditionnée par un chiffre d'affaires annuel inférieur à 10 millions de dirhams.
coopératives et associations d’habitation,des coopératives et des associations d’habitation,exonération,l’exonération à compter du 1er janvier 2018,applicable sur,Les coopératives et associations d'habitation peuvent bénéficier d'une exonération sous certaines conditions.
membres coopérateurs ou adhérents,les membres coopérateurs ou adhérents ne doivent pas être soumis à l’impôt sur le revenu,exonération,l’exonération à compter du 1er janvier 2018,condition pour,L'exonération est conditionnée par le statut fiscal des membres.
administration fiscale,les dirigeants de la coopérative ou de l’association doivent adresser à l’administration fiscale,liste actualisée des membres,la liste actualisée des membres,obligation de,Les dirigeants doivent informer l'administration fiscale des changements dans la liste des membres.
logement,le coopérateur ou adhérent doit affecter le logement à son habitation principale,exonération,l’exonération à compter du 1er janvier 2018,condition pour,L'affectation du logement à l'habitation principale est une condition pour l'exonération.
superficie couverte,la superficie couverte ne doit pas dépasser trois cent s (300) mètres carrés,exonération,l’exonération à compter du 1er janvier 2018,condition pour,La superficie de l'habitation est une condition pour bénéficier de l'exonération.
organismes de placement collectif immobilier (OPCI),bénéfice des exonérations prévues par les dispositions de l’article 6 -I (A et C),exonération,l’exonération prévue par les dispositions de l’article 6 -I (A et C),applicable sur,Les OPCI peuvent bénéficier d'exonérations fiscales sous certaines conditions.
participations dans le capital des jeunes entreprises innovantes,réduction d’impôt prévue par les dispositions de l’article 6 -IV,réduction d'impôt,la réduction d’impôt,condition pour,La réduction d'impôt est conditionnée par des participations dans le capital des jeunes entreprises innovantes.
montant de la participation,le montant de la participation ouvrant droit à la réduction d'impôt est plafonné à cinq cent mille (500 000) dirhams,réduction d'impôt,la réduction d’impôt,condition pour,Le montant de la participation est un critère pour bénéficier de la réduction d'impôt.
montant global de la réduction d'impôt,le montant global de la réduction d'impôt ne doit pas dépasser 30% du montant de l'impôt dû,réduction d'impôt,la réduction d’impôt,condition pour,Le montant global de la réduction d'impôt est limité à 30% de l'impôt dû.
titres acquis,les titres acquis en contrepartie de la participation doivent être conservés pendant une période minimale de quatre (4) ans,réduction d'impôt,la réduction d’impôt,condition pour,La conservation des titres acquis est une condition pour bénéficier de la réduction d'impôt.
entite_1,le résultat fiscal de chaque exercice comptable,entite_2,l'excédent des produits sur les charges de l’exercice,calculé à partir de,Le résultat fiscal est déterminé d'après l'excédent des produits sur les charges.
entite_2,l'excédent des produits sur les charges de l’exercice,entite_3,législation et réglementation comptable en vigueur,modifié par,Le résultat fiscal est modifié conformément à la législation et réglementation fiscale.
entite_4,"sociétés en nom collectif, sociétés en commandite simple et sociétés en participation",entite_1,le résultat fiscal de chaque exercice comptable,déterminé comme,Le résultat fiscal de ces sociétés est déterminé comme prévu au I.
entite_5,sociétés immobilières transparentes,entite_1,le résultat fiscal,imposées d'après,Les sociétés immobilières transparentes sont imposées d'après le résultat fiscal.
entite_6,coopératives et associations d’habitation,entite_1,le résultat fiscal,imposées d'après,Les coopératives et associations d’habitation sont imposées d'après le résultat fiscal.
entite_7,groupement d'intérêt économique,entite_1,le résultat fiscal de chaque exercice comptable,comprend,Le résultat fiscal comprend la part dans les bénéfices ou pertes du groupement.
entite_8,locaux appartenant à la société,entite_9,valeur locative normale et actuelle,évalués d'après,Les produits correspondant à l'occupation gratuite des locaux sont évalués d'après la valeur locative.
entite_10,locaux cédés aux membres,entite_11,valeur vénale du bien à la date de cession,évalués d'après,Les locaux cédés aux membres doivent être évalués d'après la valeur vénale.
produits_imposables,Les produits imposables visés à l'article 8-I ci-dessus,produits_exploitation,des produits d’exploitation constitués par,lié à,Les produits imposables incluent les produits d'exploitation.
produits_exploitation,des produits d’exploitation constitués par,chiffre_affaires,le chiffre d'affaires comprenant les recettes et les créances acquises,composé de,Le chiffre d'affaires est un des composants des produits d'exploitation.
produits_exploitation,des produits d’exploitation constitués par,variation_stocks,la variation des stocks de produits,composé de,La variation des stocks est un des composants des produits d'exploitation.
produits_exploitation,des produits d’exploitation constitués par,immobilisations_produites,les immobilisations produites par l’entreprise pour elle-même,composé de,Les immobilisations produites sont un des composants des produits d'exploitation.
produits_exploitation,des produits d’exploitation constitués par,subventions_exploitation,les subventions d’exploitation,composé de,Les subventions d'exploitation sont un des composants des produits d'exploitation.
produits_exploitation,des produits d’exploitation constitués par,autres_produits_exploitation,les autres produits d’exploitation,composé de,Les autres produits d'exploitation sont un des composants des produits d'exploitation.
produits_exploitation,des produits d’exploitation constitués par,reprises_exploitation,les reprises d’exploitation et transferts de charges,composé de,Les reprises d'exploitation et transferts de charges sont un des composants des produits d'exploitation.
produits_imposables,Les produits imposables visés à l'article 8-I ci-dessus,produits_financiers,des produits financiers constitués par,lié à,Les produits imposables incluent également les produits financiers.
produits_financiers,des produits financiers constitués par,produits_titres,les produits des titres de participation et autres titres immobilisés,composé de,Les produits des titres sont un des composants des produits financiers.
produits_financiers,des produits financiers constitués par,gains_change,les gains de change,composé de,Les gains de change sont un des composants des produits financiers.
produits_financiers,des produits financiers constitués par,interets_courus,les intérêts courus et autres produits financiers,composé de,Les intérêts courus sont un des composants des produits financiers.
produits_financiers,des produits financiers constitués par,reprises_financieres,les reprises financières et les transferts de charges,composé de,Les reprises financières et transferts de charges sont un des composants des produits financiers.
produits_imposables,Les produits imposables visés à l'article 8-I ci-dessus,produits_non_courants,des produits non courants constitués par,lié à,Les produits imposables incluent également les produits non courants.
produits_non_courants,des produits non courants constitués par,produits_cession,les produits de cession d’immobilisations,composé de,Les produits de cession d'immobilisations sont un des composants des produits non courants.
produits_non_courants,des produits non courants constitués par,subventions_equilibre,les subventions d’équilibre,composé de,Les subventions d'équilibre sont un des composants des produits non courants.
produits_non_courants,des produits non courants constitués par,reprises_subventions,les reprises sur subventions d’investissement,composé de,Les reprises sur subventions d'investissement sont un des composants des produits non courants.
produits_non_courants,des produits non courants constitués par,autres_produits_non_courants,les autres produits non courants y compris les dégrèvements obtenus de l'administration,composé de,Les autres produits non courants sont un des composants des produits non courants.
produits_non_courants,des produits non courants constitués par,reprises_non_courantes,les reprises non courantes et les transferts de charges,composé de,Les reprises non courantes et transferts de charges sont un des composants des produits non courants.
subventions_dons,"Les subventions et dons reçus de l'Etat, des collectivités locales ou des tiers",exercice_perception,sont rapportés à l'exercice au cours duquel ils ont été perçus,rapporté à,Les subventions et dons sont rapportés à l'exercice de leur perception.
subventions_investissement,s’il s’agit de subventions d’investissement,durée_amortissement,la société peut les répartir sur la durée d’amortissement des biens financés,réparti sur,Les subventions d'investissement peuvent être réparties sur la durée d'amortissement des biens.
subventions_investissement,s’il s’agit de subventions d’investissement,durée_dix_exercices,ou sur une durée de dix (10) exercices,réparti sur,Les subventions d'investissement peuvent être réparties sur une durée de dix exercices.
entite_1,produits non imposables,entite_2,produits de cession résultant des opérations suivantes,lié à,Les produits non imposables sont liés aux produits de cession résultant de certaines opérations.
entite_2,produits de cession résultant des opérations suivantes,entite_3,opérations de pension prévues par la loi n° 24 -01,comprend,Les produits de cession comprennent les opérations de pension prévues par la loi n° 24 -01.
entite_2,produits de cession résultant des opérations suivantes,entite_4,opérations de prêt de titres réalisées conformément à la législation,comprend,Les produits de cession comprennent les opérations de prêt de titres réalisées conformément à la législation.
entite_4,opérations de prêt de titres réalisées conformément à la législation,entite_5,valeurs mobilières inscrites à la cote de la Bourse des valeurs,applicable sur,Les opérations de prêt de titres sont applicables sur les valeurs mobilières inscrites à la Bourse.
entite_4,opérations de prêt de titres réalisées conformément à la législation,entite_6,titres de créances négociables prévus par la loi n° 35 -94,applicable sur,Les opérations de prêt de titres sont applicables sur les titres de créances négociables.
entite_4,opérations de prêt de titres réalisées conformément à la législation,entite_7,titres émis par le Trésor,applicable sur,Les opérations de prêt de titres sont applicables sur les titres émis par le Trésor.
entite_4,opérations de prêt de titres réalisées conformément à la législation,entite_8,certificats de sukuk émis par les fonds de placement,applicable sur,Les opérations de prêt de titres sont applicables sur les certificats de sukuk émis par les fonds de placement.
entite_2,produits de cession résultant des opérations suivantes,entite_9,opérations de cession d’actifs réalisées entre l’établissement initiateur et les fonds de placements collectifs,comprend,Les produits de cession comprennent les opérations de cession d’actifs entre l’établissement et les fonds de placements.
entite_2,produits de cession résultant des opérations suivantes,entite_10,opérations de cession et de rétrocession d’immeubles,comprend,Les produits de cession comprennent les opérations de cession et de rétrocession d’immeubles.
entite_10,opérations de cession et de rétrocession d’immeubles,entite_11,contrat de vente à réméré,régi par,Les opérations de cession et de rétrocession d’immeubles sont régies par un contrat de vente à réméré.
entite_11,contrat de vente à réméré,entite_12,acte authentique,doit être établi sous forme de,Le contrat de vente à réméré doit être établi sous forme d’un acte authentique.
entite_11,contrat de vente à réméré,entite_13,terme stipulé au contrat,doit respecter,Le contrat de vente à réméré doit respecter le terme stipulé qui ne peut excéder trois ans.
entite_11,contrat de vente à réméré,entite_14,réinscription des immeubles à l’actif de l’entreprise,doit être effectuée,La réinscription des immeubles doit être effectuée à leur valeur d’origine.
entite_2,produits de cession résultant des opérations suivantes,entite_15,"produit de la cession des valeurs, des titres, des effets ou des immeubles",défini comme,Le produit de la cession est défini comme la différence entre la valeur réelle et la valeur comptable.
entite_15,"produit de la cession des valeurs, des titres, des effets ou des immeubles",entite_16,"valeurs, titres, effets ou éléments d’actif acquis ou souscrits",retenir pour la détermination,"Pour déterminer le produit de la cession, il faut retenir les valeurs, titres, effets ou éléments d’actif acquis."
entite_2,produits de cession résultant des opérations suivantes,entite_17,produits des cessions des participations des établissements et entreprises publics,comprend,Les produits de cession comprennent également les produits des cessions des participations des établissements publics.
entite_17,produits des cessions des participations des établissements et entreprises publics,entite_18,opérations de transfert prévues par l’article premier de la loi n° 39 -89,réalisés dans le cadre de,Les produits des cessions sont réalisés dans le cadre des opérations de transfert prévues par la loi n° 39 -89.
entite_1,les charges d’exploitation,entite_2,les achats de marchandises revendus en l’état et les achats consommés de matières et fournitures,composée de,Les charges d'exploitation comprennent les achats de marchandises et de matières.
entite_1,les charges d’exploitation,entite_3,les autres charges externes,composée de,Les charges d'exploitation comprennent également d'autres charges externes.
entite_3,les autres charges externes,entite_4,les cadeaux publicitaires,exemple de,Les cadeaux publicitaires font partie des autres charges externes.
entite_4,les cadeaux publicitaires,entite_5,valeur unitaire maximale de cent (100) dirhams,limité par,La valeur unitaire des cadeaux publicitaires est limitée à 100 dirhams.
entite_1,les charges d’exploitation,entite_6,les dons en argent ou en nature,composée de,Les charges d'exploitation incluent également les dons en argent ou en nature.
entite_6,les dons en argent ou en nature,entite_7,habous publics,destinés à,Les dons peuvent être destinés aux habous publics.
entite_6,les dons en argent ou en nature,entite_8,entraide nationale,destinés à,Les dons peuvent être destinés à l'entraide nationale.
entite_6,les dons en argent ou en nature,entite_9,associations reconnues d'utilité publique,destinés à,Les dons peuvent être destinés à des associations reconnues d'utilité publique.
entite_6,les dons en argent ou en nature,entite_10,deux pour mille (2 ‰) du chiffre d'affaires,limité par,Les dons sont limités à 2 ‰ du chiffre d'affaires.
entite_1,les charges d’exploitation,entite_11,les impôts et taxes à la charge de la société,composée de,Les charges d'exploitation incluent les impôts et taxes à la charge de la société.
